speed
46
58
60
56
70
66
48
54
62
41
39
52
45
62
53
69
65
65
67
76
52
52
59
59
67
51
46
61
40
43
42
77
67
63
59
63
63
72
57
59
42
56
47
62
67
70
63
66
69
73
